FAQ ID,问题分类,标准问题,相似问法,标准答案,适用角色,关联规则ID,关联平台操作事项ID,更新时间,状态
FAQ-001,流程-试标,正式试标前要准备哪些东西？,试标要准备什么材料；试标需要什么,需要三样：1.数据（由需求方提供）；2.规则文档（标注规范说明书）；3.预算单（试标阶段哪怕只有1块钱预算单也行用于平台创建任务）,客户;运营,无,OP-001,2026/7/1,启用
FAQ-002,流程-试标,什么叫非正式试标？,没有预算单能试标吗；试标前可以先看看效果吗,就是需求方什么文档都没有的时候。可以先拿点数据告诉运营想要什么效果运营手动上传几张让你确认是不是想要的样子确认差不多了再走正式试标流程,客户;运营,无,无,2026/7/1,启用
FAQ-003,流程-需求拆分,视频标注和图片标注能一起提吗？,一个视频既要标框又要标时间点怎么提,视具体需求而定。涉及2D框/分割/接触点通常只能抽帧成图片后标注；时间点/整体描述可以按视频标注。如果视频标注结果可能决定某些视频不需要抽帧就分两阶段提交,客户;运营,无,OP-002,2026/7/1,启用
FAQ-004,供应商-试标,试标可以用自己的供应商吗？,能找外部团队试标吗,可以。外部供应商可以加入试标但正式标注前必须走公司的询价/竞价流程中标后方可参与,客户;运营,无,无,2026/7/1,启用
FAQ-005,操作-平台入口,标注平台地址是什么？,在哪里发任务；标注网址,有两个常用系统：1.任务文档/流程管理平台（查看操作文档）；2.标注执行平台（上传数据/创建任务/查看结果）。具体地址请向运营获取最新链接,客户;运营,无,OP-003,2026/7/1,启用
FAQ-006,操作-任务创建,创建标注任务时要上传什么附件？,发任务要填什么；需要什么文档,附件是规则文档（标注规范说明书）。其他字段（如预算单号/存储路径）由运营或需求方填写。如果只是试标可以用已有的预算单号,客户;运营,无,OP-002,2026/7/1,启用
FAQ-007,财务-预算,试标阶段要不要申请预算单？,试标收费吗；没有预算能试标吗,分情况：1.找供应商试标每家1小时左右通常不收费；2.但平台创建任务仍需预算单哪怕金额极小（如1元）若无现成单子需在OA/飞书上并行申请,客户;运营,无,OP-001,2026/7/1,启用
FAQ-008,供应商-产能,标注产能/价格怎么估算？,标一张图多少钱；大概多久能标完,参考历史数据：如关键点标注曾有0.0182元/点、1500点/小时的纪录。若每张图固定有N个点单张预估费用=N×单价。但最终价格由采购组织多家供应商竞价决定,客户;运营,无,无,2026/7/1,启用
FAQ-009,规则-标注规范,人体关键点标注的左右怎么定？,左右手怎么区分；左右是看图片还是看人,以图中人类的左右为准。标注员面对图片时图片里人的左手即左右手即右,供应商;质检,无,无,2026/7/1,启用
FAQ-010,流程-反馈,标注结果格式有问题怎么跟供应商反馈？,标错了怎么让他们改；返修怎么沟通,两种方式：1.确认中标后运营会拉飞书群在群里直接沟通；2.在标注平台的结果上直接加批注批注会同步给标注员,运营;供应商;质检,无,无,2026/7/1,启用
FAQ-011,供应商-选择,供应商试标后怎么选？只看质量吗？,怎么选供应商；试标完了选哪个,结合两个维度：试标质量+报价。由运营汇总报价结合试标效果选择性价比最高的。若有供应商质量尚可但试标差可少量重标验证后再给大量任务,运营,无,无,2026/7/1,启用
FAQ-012,规则-标注规范,遮挡或看不见的关键点怎么标？,被挡住的关键点要标吗；看不见的关节怎么处理,看不见或自身角度遮挡的关键点不标注。规则文档里会明确标注"遮挡不标"原则,供应商;质检,无,无,2026/7/1,启用
FAQ-013,财务-预算,预算单怎么申请？,怎么走预算流程；预算在哪里提,在飞书或OA上提交预算申请。试标阶段金额可以很小（如1元）目的是在系统里合规创建任务。正式标注需要走正规预算审批流程,客户;运营,无,OP-001,2026/7/1,启用
FAQ-014,流程-交付,正式标注后大概多久完成？,一批数据要标多久；什么时候能交付,取决于数据量和供应商产能。量级不大的通常可协调在客户期望日期前完成。运营会根据供应商产能评估具体时间并同步进度,客户;运营,无,无,2026/7/1,启用
FAQ-015,操作-数据上传,怎么把数据送到平台？,数据怎么给你们；文件发哪里,可以先把数据发到项目群运营会协助上传到平台试标几张看看效果。正式大批量数据需要按平台要求上传并填写存储路径,客户,无,OP-004,2026/7/1,启用
