供应商ID,供应商名称,能力标签,支持数据模态,支持任务类型,可用产能,历史质量等级,历史效率区间,账号状态,合作状态,最后活跃时间,月产能基线,风险备注,可见范围
SUP-001,某外部采集供应商A,采集-道路/城市场景,图像;视频,采集,50人团队,A级,100-110张/人天,正常,合作中,2026/7/5,100000张,雨天采集效率下降需注意天气窗口,PRJ-001;PRJ-005
SUP-002,某外部标注供应商B,标注-3D点云/2D框,点云;图像,标注;质检,30人团队,A级,200-210帧/人天,正常,合作中,2026/5/28,20000帧,历史发生过P0方向角偏差事件（QINC-007）已修正,PRJ-003
SUP-003,某外部采集供应商C,采集-车内场景/多语种,语音;图像,采集,20人团队,B级,5-6小时/人天,正常,合作中,2026/7/18,500小时,粤语识别能力不足需培训（QINC-010）,PRJ-004
SUP-004,某外部质检供应商D,质检-2D框/属性,图像,质检,15人团队,A级,380-420张/人天,正常,合作中,2026/7/13,30000张,新引入供应商暂无风险记录,PRJ-005
SUP-005,内部标注团队,标注-语音转写/2D框/关键点,语音;图像;文本,标注;返修,10人团队,B级,8-9小时/人天(语音);300-310张/人天(图像),正常,合作中,2026/7/3,10000张;500小时,语音转写返修效率偏低（BATCH-013实际4.5低于预估6）,PRJ-002;PRJ-005
SUP-006,内部质检团队,质检-全模态,语音;图像;点云,质检,5人团队,A级,9-10小时/人天(语音);240-250帧/人天(点云),正常,合作中,2026/6/28,20000张;1000小时,无,PRJ-002;PRJ-003
SUP-007,某外部标注供应商E,标注-关键点/人体姿态,图像,标注,25人团队,A级,1500-1600点/小时,正常,合作中,2026/4/15,15000张,超过3个月未活跃，建议先少量试标验证产能,无
SUP-008,某外部采集供应商F,采集-农业/无人机航拍,图像;视频,采集,10人团队,B级,90-100张/人天,观察期,合作中,2026/5/20,50000张,新供应商仅合作过一次小批量项目，目前观察期,无
SUP-009,某外部标注供应商G,标注-文本分类/情感分析,文本,标注,20人团队,A级,500-600条/人天,正常,合作中,2026/6/10,100000条,无,无
SUP-010,某外部采集供应商H,采集-街景/室内全景,图像;视频,采集,15人团队,A级,80-90张/人天,已停用,已终止,2025/12/1,30000张,合同到期未续签，已终止合作,无
