操作事项ID,关联需求ID,关联项目ID,操作类型,操作角色,操作说明,所属平台页面,前置条件,完成状态,截止时间,负责人,帮助文档链接
OP-001,REQ-001,PRJ-001,预算申请,客户,在飞书或OA系统提交预算申请单；试标阶段金额可填最小值（如1元）,飞书/OA审批系统,需求已创建,已完成,2026/6/20,张运营,内部Wiki-预算申请流程
OP-002,REQ-001,PRJ-001,创建任务,运营,在标注执行平台创建任务；填写基础字段（项目名称/数据量/存储路径）；上传规则文档作为附件；授权书部分任选一项即可,标注执行平台-任务创建页,预算单已审批；规则文档已就绪,已完成,2026/7/1,张运营,内部Wiki-任务创建指南
OP-003,REQ-001,PRJ-001,数据上传,客户,将采集的原始图像按批次上传至平台指定存储路径；上传前确认文件命名规范,标注执行平台-数据管理页,任务已创建,已完成,2026/7/1,某外部采集供应商A,内部Wiki-数据上传规范
OP-004,REQ-002,PRJ-002,安全信息填报,客户,填写数据安全信息表：数据来源/存储位置/访问权限/是否涉及个人信息/脱敏方案,平台安全中心-信息填报页,需求已创建,已完成,2026/6/18,李运营,内部Wiki-安全信息填写指南
OP-005,REQ-003,PRJ-003,发起验收,客户,确认交付物符合验收标准后在平台点击验收通过；如有异议填写验收不通过原因,标注执行平台-验收管理页,项目状态为已交付,已完成,2026/6/20,王运营,内部Wiki-验收操作说明
OP-006,REQ-003,PRJ-003,发起结算,运营,汇总项目交付量/返修扣减/质量扣罚后发起结算申请；附上验收确认单和竞价记录,平台结算中心-发起结算页,项目已验收,未完成,2026/7/5,王运营,内部Wiki-结算流程说明
OP-007,REQ-004,PRJ-004,供应商竞价发起,运营,在采购系统发起竞价；选择至少3家供应商；设置竞价截止时间,采购系统-竞价管理页,项目已立项；供应商短名单已确认,已完成,2026/7/5,张运营,内部Wiki-竞价操作手册
OP-008,REQ-005,PRJ-005,质检任务分配,运营,在平台分配质检批次给质检团队；设置质检比例（全检/抽检/按比例）,标注执行平台-质检管理页,首标批次已完成,已完成,2026/7/10,赵运营,内部Wiki-质检分配指南
OP-009,REQ-005,PRJ-005,返修任务创建,运营,根据质检结果创建返修批次；关联质量事件ID；注明返修原因和要求,标注执行平台-返修管理页,质检已完成且发现需返修的质量事件,未完成,待BATCH-009完成,赵运营,内部Wiki-返修操作说明
OP-010,通用,通用,查看项目进度,客户;运营,在标注执行平台查看项目当前阶段/批次状态/交付进度,标注执行平台-项目详情页,项目已立项,无需操作,无需操作,无,内部Wiki-项目进度查看指南
